Name,Position Group,Position,Body Weight,Date,Day,Day Name,Week,Squat,Box Squat,Bench,Chin Ups,Opposition,Venue,Opposition Seed,Match Minutes,Result,Total Distance,Total Duration,Distance Zone 2-8 (m),HMLD,High Speed Running,VHSR,Max Speed,Accel Load,Accel Efforts,Accel Distance,Decel Efforts,Decel Distance,Relative Cumulative Mechanical Load (N),Scaled CML (N),Average Force per Effort (N),N/m,Nordic Right Hamstring (N),Nordic Left Hamstring (N),Nordic LvR % Imb,R Hip ABD (N),L Hip ABD (N),ABD LvR % Imb,R Hip ADD (N),L Hip ADD (N),ADD LvR % Imb,R Ankle PF (N),L Ankle PF (N),PF LvR % Imb,R Knee Ext (N),L Knee Ext (N),Knee LvR % Imb,R Neck Flex (N),L Neck Flex (N),Neck LvR % Imb
Apii Nicholls,Back,Fullback,,19/08/2025,D2,Tuesday,R8,,164,,,,,,,,20:26:53,1:38:57,3037.19,702.85,196.68,0,6.84517,2422.886,124,486.68,60,88.92,33430.5,3343.05,181.6875,5.498571347,337,333,0.60%,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,21/08/2025,D4,Thursday,R8,,,,,,,,,,21:31:41,1:55:47,2685.13,790.27,528.21,41.41,7.52232,1976.512,60,270.82,52,68.09,22321.5,2232.15,199.2991,3.639040564,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,23/08/2025,NON,Saturday,R8,,,,,,,,,,3:01:26,1:39:29,1431.93,428.83,179.72,0,6.38011,1570.653,54,194.21,48,50.9,19113,1911.3,187.3824,4.694769948,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,27/08/2025,D4,Wednesday,R9,,,,,,,,,,0:12:58,2:14:00,2137.96,497.12,270.71,4,7.0445,1986.909,42,172.94,39,44.48,15870,1587,195.9259,2.749475962,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,29/08/2025,NON,Friday,R9,,,,,,,,,,19:50:53,2:42:09,1668.68,506.5,254.24,0,6.37005,1432.993,52,207.79,43,50.94,17905.5,1790.55,188.479,4.492292315,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,4/09/2025,D4,Thursday,R10,,,,,,,,,,17:21:07,1:45:00,2045.91,692.69,480.93,10.55,7.04716,1882.378,51,261.56,43,63.04,18181.5,1818.15,193.4202,3.37086276,,,,303.5,350.25,7.20%,361.75,392.75,4.10%,,,,,,,,,
Apii Nicholls,Back,Fullback,69.4,6/09/2025,NON,Saturday,R10,,,,,,,,,,21:01:26,1:28:41,2089.47,644.61,296.29,0,6.81639,1768.851,63,276.52,52,67.77,22011,2201.1,191.4,4.529127904,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,11/09/2025,D4,Thursday,R11,,127,,,,,,,,8:32:38,1:56:11,2529.79,829.92,474.83,44.87,7.54569,2077.9,74,302.04,54,74.35,24046.5,2404.65,187.8633,3.987575526,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,7/09/2025,MATCH,Sunday,R10,,,,,Broncos,Home,1,70,Loss,12:25:55,1:31:50,3441.81,925.16,378.17,11.11,7.40016,2314.585,83,273.9,79,100.19,33844.5,3384.45,208.9167,4.769842033,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,14/09/2025,MATCH,Sunday,R11,,,,,Tigers,Away,12,70,Won,7:23:31,1:21:57,3009.93,683.59,265.89,16.11,7.32467,1998.061,57,217.89,52,63.83,22183.5,2218.35,203.5184,3.36047038,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,13/07/2025,MATCH,Sunday,R2,,,,,Eels,Home,7,70,Won,8:24:00,1:16:49,3680.16,972.26,400,6.28,7.23131,2120.422,72,264.98,77,89.15,28773,2877.3,193.1074,4.031893055,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,20/07/2025,MATCH,Sunday,R3,,,,,Knights,Away,3,70,Loss,20:47:02,1:23:38,3898.1,933.86,342,6.59,7.22205,2302.183,87,298.03,104,124.26,36639,3663.9,191.8272,5.133765998,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,26/07/2025,MATCH,Saturday,R4,,,,,Titans,Home,6,70,Loss,21:15:50,1:19:41,2958.34,813.02,333.63,9.73,7.16187,2019.53,85,276,80,89.86,31257,3125.7,189.4364,4.777249672,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,3/08/2025,MATCH,Sunday,R5,,,,,Cowboys,Away,4,60,Won,2:34:05,1:17:28,2750.91,664.22,290.3,13.64,7.42705,1763.886,55,248.29,59,72.3,23115,2311.5,202.7632,4.188936532,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,9/08/2025,MATCH,Saturday,R6,,,,,Bulldogs,Away,9,59,Won,14:29:46,1:24:40,2849.38,677.51,282.56,0,6.87727,1867.025,62,224.08,47,57.45,21735,2173.5,199.4037,3.661800888,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,24/08/2025,MATCH,Sunday,R8,,,,,Sharks,Home,5,70,Loss,8:51:22,1:24:24,3141.25,739.7,358.72,23.5,7.61942,1989.363,61,218.1,68,84.15,27186,2718.6,210.7442,4.09158492,,,,,,,,,,,,,,,,,,
Apii Nicholls,Back,Fullback,,30/08/2025,MATCH,Saturday,R9,,,,,Dragons,Away,10,70,Loss,14:00:58,1:19:33,3288.05,892.35,502.19,29.18,7.5226,2105.475,65,239.51,68,80.56,27427.5,2742.75,206.2218,4.123453902,,,,,,,,,,,,,,,,,,
Asha Taumoepeau-Williams,Back,Fullback,,27/08/2025,D4,Wednesday,R9,,,,,,,,,,4:23:31,2:14:00,2042.32,692.74,426.28,49.79,7.47477,2047.169,51,233.45,47,55.79,22560,2256,230.2041,4.141590249,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,6/07/2025,MATCH,Sunday,R1,,,,,Roosters,Away,2,19,Loss,20:22:34,1:30:06,1461.77,187.81,70.73,0,5.69297,953.9515,10,52.78,21,23.86,8004,800.4,258.1936,2.816476174,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,15/05/2025,D2,Thursday,PS1,82,,,,,,,,,1:46:34,1:46:30,1906.94,538.78,234.98,0,6.72318,1979.21,61,291.66,47,52.44,26496,2649.6,245.3333,5.54649143,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,17/05/2025,D3,Saturday,PS1,,,,,,,,,,21:51:50,1:36:26,1923.18,335.24,14.17,0,5.47731,2216.918,68,277.26,53,58.79,29440,2944,243.3058,6.183690474,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,19/05/2025,D1,Monday,PS2,96,,,,,,,,,10:59:31,1:28:56,2832.56,553.26,133.19,0,6.10954,2132.993,73,330.8,45,61.58,29256,2925.6,247.9322,5.283290636,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,20/05/2025,D2,Tuesday,PS2,,,,,,,,,,17:22:34,1:29:06,1921.81,355.41,52.05,0,6.10769,1963.958,62,258.6,43,41.29,24518,2451.8,233.5048,5.742291539,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,22/05/2025,D3,Thursday,PS2,,,,,,,,,,0:20:10,1:43:10,2918.56,639.61,177.05,2.01,7.02209,2201.689,97,348.67,57,70.14,37628,3762.8,244.3377,6.918165682,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,24/05/2025,D4,Saturday,PS2,,,,,,,,,,8:22:34,1:31:39,2122,334.83,0,0,4.67626,2260.403,79,309.53,53,65.53,31096,3109.6,235.5758,6.396578398,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,26/05/2025,D1,Monday,PS3,,,,,,,,,,8:49:55,1:27:26,3897.04,488.24,115.55,0,6.25268,1801.692,70,273.76,45,38.3,27692,2769.2,240.8,4.482089769,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,27/05/2025,D2,Tuesday,PS3,,,,,,,,,,1:06:14,1:31:56,815.78,129.01,22.11,0,5.61452,1681.821,22,83.87,19,23.06,9614,961.4,234.4878,2.840138657,,,,,,,,,,,,,,,,,,
Ashlee Matapo,Forward,Second Row,,29/05/2025,D3,Thursday,PS3,,,,,,,,,,9:04:19,1:54:05,3118.62,731.13,139.495,8.45,7.20573,2461.967,89,344.46,77,82.58,41032,4103.2,123.5904,6.586853455,,,,,,,,,,,,,,,,,,
