Name,"Position Name",Date,"Day Name","Total Duration","Total Distance (m)","Distance Zone 2-8 (m)","HMLD (Gen 2)","High Speed Running","V High Speed Running","Maximum Velocity (m/s)","Acceleration B1-3 Total Efforts (Gen 2)","Acceleration B1-3 Distance (Gen 2) (m)","Deceleration B1-3 Total Efforts (Gen 2)","Deceleration B1-3 Distance (Gen 2) (m)",N/m
"Ashlee Matapo - 22/05/2025",Forward,22/05/2025,Thursday,01:43:10,5439.01416,2918.56001,639.60999,177.05,2.01,7.02209,97,348.67,57,70.14,6.91817
"Ashlee Matapo - 24/05/2025",Forward,24/05/2025,Saturday,01:31:39,4861.34912,2122.00006,334.82999,0,0,4.67626,79,309.53001,53,65.53,6.39658
"Ashlee Matapo - 26/05/2025",Forward,26/05/2025,Monday,01:27:26,6178.36816,3897.03993,488.24001,115.55,0,6.25268,70,273.76001,45,38.3,4.48209
"Ashlee Matapo - 27/05/2025",Forward,27/05/2025,Tuesday,01:31:56,3385.04614,815.77999,129.00999,22.11,0,5.61452,22,83.87,19,23.06,2.84014
"Ashlee Matapo - 29/05/2025",Forward,29/05/2025,Thursday,01:54:05,6229.3784,3118.61995,731.12997,139.495,8.45,7.20573,89,344.46,77,82.58,6.58685
"Ashlee Matapo - 31/05/2025",Forward,31/05/2025,Saturday,01:24:35,4079.82118,1934.57999,315.14,34.65,0,6.00012,62,282.63,59,74.77,7.11453
"Ashlee Matapo - 02/06/2025",Forward,02/06/2025,Monday,01:53:56,6790.14819,3840.77,640.24,158.57,0,6.12282,67,268.02,42,62.82,3.89535
"Ashlee Matapo - 03/06/2025",Forward,03/06/2025,Tuesday,02:07:36,4124.21436,1253.01998,179.50999,45.6,0,6.06424,28,144.48999,22,41.84,2.96687
"Ashlee Matapo - 05/06/2025",Forward,05/06/2025,Thursday,02:33:32,6456.33182,3077.25996,682.97001,315.74,2.69,7.00779,70,281.84,41,41.62,4.17513
"Ashlee Matapo - 07/06/2025",Forward,07/06/2025,Saturday,01:40:02,6293.65666,3348.45,258.25999,44.7,0,5.83503,34,191.45,42,53.42,3.09899
"Ashlee Matapo - 09/06/2025",Forward,09/06/2025,Monday,01:34:25,7161.84796,4019.94002,583.02,230.02,0,6.84196,64,215.52,38,54.44,3.35277
"Ashlee Matapo - 10/06/2025",Forward,10/06/2025,Tuesday,01:27:07,4678.70679,2294.96002,302.74001,53,0,5.6984,43,220.84,17,14.31,3.14617
"Ashlee Matapo - 12/06/2025",Forward,12/06/2025,Thursday,03:19:50,9257.43689,3467.64001,943.26001,371.98,0,6.73215,130,567.76,88,84.04,5.95284
"Ashlee Matapo - 14/06/2025",Forward,14/06/2025,Saturday,01:39:05,3621.94405,1840.68004,249.71999,53.23,0,5.68694,41,158.32,32,34.42,4.90234
"Ashlee Matapo - 16/06/2025",Forward,16/06/2025,Monday,01:48:06,4274.79688,1498.40001,178.78,37.69,0,5.76627,30,167.85999,30,42.45,3.31431
"Ashlee Matapo - 17/06/2025",Forward,17/06/2025,Tuesday,01:31:54,3956.35883,1903.61997,297.82,93.49,0,6.50568,44,165.11,43,47.12,5.35998
"Ashlee Matapo - 19/06/2025",Forward,19/06/2025,Thursday,01:47:32,5792.20544,2885.75998,709.88001,320.79,10.6,7.09437,76,310.68,51,60.02,5.43213
"Ashlee Matapo - 21/06/2025",Forward,21/06/2025,Saturday,01:55:00,3686.14429,1676.35001,265.29001,34.79,0,5.34613,40,176.35,36,33.96,5.14142
"Ashlee Matapo - 24/06/2025",Forward,24/06/2025,Tuesday,01:51:54,5589.4704,2867.51998,627.57001,173.14,0,6.53387,115,459.40999,85,77.41,8.64125
"Ashlee Matapo - 26/06/2025",Forward,26/06/2025,Thursday,06:39:55,4441.75073,2029.06001,549.48001,166.635,6.015,7.11979,53,236.23,41,46.22,5.27134
"Ashlee Matapo - 30/06/2025",Forward,30/06/2025,Monday,02:13:38,4014.19312,1613.16999,331.09,137.28,0,6.7153,48,197.69,34,31.29,4.79
"Ashlee Matapo - 01/07/2025",Forward,01/07/2025,Tuesday,01:44:00,5090.87402,2208.95996,426.03,128.32,0,6.14254,67,260.26001,65,73.83,6.27083
"Ashlee Matapo - 03/07/2025",Forward,03/07/2025,Thursday,01:32:00,5401.30078,2551.11997,388.14999,226.00001,0,6.44617,40,156.5,43,43.55,3.75576
"Ashlee Matapo - 05/07/2025",Forward,05/07/2025,Saturday,01:14:04,3228.25513,1098.61002,192.73,15.05,0,5.37056,33,113.97,26,17.5,4.26051
"Ashlee Matapo - 06/07/2025",Forward,06/07/2025,Sunday,01:30:06,2841.84857,1461.77,187.81,70.73,0,5.69297,10,52.78,21,23.86,2.81648
"Ashlee Matapo - 08/07/2025",Forward,08/07/2025,Tuesday,00:35:00,1296.89807,343.83999,29.47,0,0,4.56224,4,22.1,1,1.76,0.88673
"Ashlee Matapo - 10/07/2025",Forward,10/07/2025,Thursday,02:05:42,6622.789,3168.83998,532.37001,226.35,0,6.85307,68,283.64,43,47.07,3.93822
"Ashlee Matapo - 12/07/2025",Forward,12/07/2025,Saturday,01:25:00,3788.66016,1381.04,336.07999,82.5,0,5.9688,60,212.08,32,34.75,5.80363
"Ashlee Matapo - 13/07/2025",Forward,13/07/2025,Sunday,01:16:49,2647.86142,1389.28003,165.6,5.85,0,5.8426,19,82.61,27,25.46,4.20415
"Ashlee Matapo - 15/07/2025",Forward,15/07/2025,Tuesday,01:20:55,4588.67188,2193.12003,515.97,321.00999,0,6.77166,59,231.43,42,40.39,5.22286
"Ashlee Matapo - 17/07/2025",Forward,17/07/2025,Thursday,02:00:00,6121.54053,2535.90004,385.79001,190.5,0,6.88856,52,202.39999,38,33.73,3.45665
"Ashlee Matapo - 19/07/2025",Forward,19/07/2025,Saturday,01:05:00,2941.96704,1127.68998,248.06,43.1,0,5.68362,47,173.04,34,29.98,6.5514
"Ashlee Matapo - 20/07/2025",Forward,20/07/2025,Sunday,01:37:14,3292.448,1826.26001,363.82999,310.37999,0,6.05715,33,121.02,24,18.7,4.06567
"Ashlee Matapo - 23/07/2025",Forward,23/07/2025,Wednesday,01:58:58,5226.62744,2165.99,350.73001,137.48,0,6.59953,51,204.97001,43,42.76,4.20692
"Ashlee Matapo - 25/07/2025",Forward,25/07/2025,Friday,00:48:47,2661.17407,1504.14001,360.25,259.62,0,5.51698,40,147.32999,26,30.59,5.91168
"Ashlee Matapo - 29/07/2025",Forward,29/07/2025,Tuesday,01:10:00,3490.29492,1495.33,130.2,32.39,0,5.76813,15,70.79,14,26.73,1.96373
"Ashlee Matapo - 31/07/2025",Forward,31/07/2025,Thursday,02:07:29,5915.37744,2192.64991,456.41,231.86,0,6.73726,46,188.72001,32,38.19,3.25829
"Ashlee Matapo - 03/08/2025",Forward,03/08/2025,Sunday,01:25:13,3462.08917,1919.65999,241.97999,242.3,0,5.83473,17,70.31,20,26.12,2.53777
"Ashlee Matapo - 05/08/2025",Forward,05/08/2025,Tuesday,01:05:01,2948.5083,1564.05999,358.23999,198.84,0,6.30533,47,174.73,28,23.16,6.13124
"Ashlee Matapo - 06/08/2025",Forward,06/08/2025,Wednesday,02:18:01,5476.3042,1966.45999,495.87,132.81,0,6.64484,58,226.17,49,56.51,4.6955
"Ashlee Matapo - 11/08/2025",Forward,11/08/2025,Monday,01:17:27,3590.95874,1435.37002,359.25,93.28,0,6.49491,48,200.04,39,47.66,5.95663
"Ashlee Matapo - 13/08/2025",Forward,13/08/2025,Wednesday,02:04:03,4616.33203,1514.08999,343.60001,216.2,0,6.44556,47,166.26,28,25.29,3.85631
"Ashlee Matapo - 15/08/2025",Forward,15/08/2025,Friday,03:48:52,4634.19189,1073.36,125.3,12.5,0,5.12948,24,71.52,6,8.44,1.48893
"Ashlee Matapo - 18/08/2025",Forward,18/08/2025,Monday,00:52:45,2918.77295,1387.25999,183.08,20.92,0,5.33494,26,111.83,7,6.11,2.69497
"Ashlee Matapo - 19/08/2025",Forward,19/08/2025,Tuesday,01:38:57,5322.37012,2252.36995,349.39001,74.41,0,6.05799,51,264.19001,29,58.53,3.56082
"Ashlee Matapo - 21/08/2025",Forward,21/08/2025,Thursday,01:55:47,5322.24414,2190.53002,504.5,206.63,0,6.60492,64,237.24,42,44.27,4.84006
"Ashlee Matapo - 23/08/2025",Forward,23/08/2025,Saturday,01:39:29,3807.92212,1471.15001,381.28,68.11,0,6.05004,54,206.30001,41,36.13,6.02796
"Ashlee Matapo - 24/08/2025",Forward,24/08/2025,Sunday,01:24:24,3844.52124,1893.18001,247.38,38.74,0,5.91879,31,102.77,42,45.88,4.64245
"Ashlee Matapo - 27/08/2025",Forward,27/08/2025,Wednesday,02:14:00,5532.2085,1974.19,423.14001,132.97,0,6.73341,50,231.12,47,55.73,4.49838
"Ashlee Matapo - 29/08/2025",Forward,29/08/2025,Friday,02:42:09,3398.56909,1320.59001,283.04001,22.04,0,5.38831,46,181.76,39,37.04,6.29383
"Ashlee Matapo - 30/08/2025",Forward,30/08/2025,Saturday,01:19:33,3236.58215,1705.72997,209.93,14.73,0,5.75424,28,117.24,41,50.94,5.34391
"Ashlee Matapo - 04/09/2025",Forward,04/09/2025,Thursday,01:45:00,4419.4126,1528.47001,437.41,272.02,0,6.55094,45,184.24,32,36.69,4.15304
"Ashlee Matapo - 06/09/2025",Forward,06/09/2025,Saturday,01:28:41,3740.94116,1326.48998,317.54001,34.58,0,5.55855,60,225.23,46,41.69,6.73841
"Ashlee Matapo - 07/09/2025",Forward,07/09/2025,Sunday,01:31:50,3642.047,1823.19,238.12,20.38,0,5.43358,36,110.24,42,40.35,5.00158
"Ashlee Matapo - 11/09/2025",Forward,11/09/2025,Thursday,01:56:11,5273.8374,1807.23002,430.69,180.89,0,6.43012,47,208.03,45,48.78,4.16926
"Ashlee Matapo - 14/09/2025",Forward,14/09/2025,Sunday,01:21:57,2689.58728,1272.35,100.61,14.22,0,5.67625,11,45.14,16,22.26,2.75358
"Avery-Rose Carmont - 07/05/2025",Backs,07/05/2025,Wednesday,01:27:35,4348.54679,2021.32,575.35999,140.87,19.8,7.23924,105,399.09,87,94.74,8.33842
"Avery-Rose Carmont - 13/05/2025",Backs,13/05/2025,Tuesday,01:04:12,2915.50366,1226.78999,319.79,33.95,6.98,7.18579,65,306.35,29,38.77,5.78631
"Avery-Rose Carmont - 15/05/2025",Backs,15/05/2025,Thursday,01:46:30,3960.10794,1433.67,352.08,207.35,17.1,7.23983,36,165.01,25,40.67,2.80169
"Avery-Rose Carmont - 17/05/2025",Backs,17/05/2025,Saturday,01:36:26,4519.2251,1732.70003,282.95999,46.21,0,5.6971,49,221.86,45,61.31,4.02724
"Avery-Rose Carmont - 19/05/2025",Backs,19/05/2025,Monday,01:28:56,5695.50378,2924.76003,639.57999,178.74,0,6.61092,81,317.57,59,81.83,4.68879
"Avery-Rose Carmont - 20/05/2025",Backs,20/05/2025,Tuesday,01:29:06,4607.59119,2111.90998,441.10001,77.39,14.11,7.16481,69,241.65999,52,52.26,4.83875
"Avery-Rose Carmont - 22/05/2025",Backs,22/05/2025,Thursday,01:43:10,5683.63135,3132.95,933.29999,366.7,15.98,7.16707,113,455.57,89,105.42,6.78615
"Avery-Rose Carmont - 24/05/2025",Backs,24/05/2025,Saturday,01:31:39,5248.43506,2318.13998,439.29999,17.46,0,5.27404,98,377.27999,71,81.89,5.98845
"Avery-Rose Carmont - 26/05/2025",Backs,26/05/2025,Monday,01:27:26,6132.41663,3997.97998,719.97001,209.53,0,6.76098,84,333.80001,68,73.38,4.61156
"Avery-Rose Carmont - 27/05/2025",Backs,27/05/2025,Tuesday,01:31:56,3873.33789,1149.99,244.39999,73.12,0,5.8542,25,124.37,24,39.83,2.30421
"Avery-Rose Carmont - 29/05/2025",Backs,29/05/2025,Thursday,01:54:03,6459.55133,3251.64001,1011.12,206.37,32.715,7.55,119,466.86001,96,120.18,6.33945
"Avery-Rose Carmont - 31/05/2025",Backs,31/05/2025,Saturday,01:24:35,4488.62187,2058.87999,492.26,74.42,4.17,7.08725,99,427.85,75,100.17,7.18149
"Avery-Rose Carmont - 02/06/2025",Backs,02/06/2025,Monday,01:53:56,7143.78513,4346.24004,910.18001,239.43,0,6.35813,96,365.15,86,111.45,4.76708
"Avery-Rose Carmont - 03/06/2025",Backs,03/06/2025,Tuesday,02:07:36,4615.14412,1658.70001,327.34999,50.32,0,6.22422,43,224,37,48.28,3.29892
"Avery-Rose Carmont - 05/06/2025",Backs,05/06/2025,Thursday,02:33:32,6759.71945,3347.20997,932.28998,597.28001,77.82,7.34323,66,297.38,59,70.01,3.53121
